,profileIdHashed,Position,Company,position_type,company_type,,,,
53,7efff9a0eb94263c954155206d4fa5e8434cdcd3,Inclusion Program Manager,Unity Technologies,,,,,,
54,eefeaa236116cd99e1c2517f5d8aedd437242bed,Sales & Event Manager,"The Overlook Event Venue, at The Port Workspaces",,,,,,
55,ad63f970d01947ce1b2a9a14c92103c4252a0e86,R&D Head | Research Projects | Advanced Software Systems,Nurjana Technologies,,,,,,
56,0c3ce966631f53d17213530e29ade21be76c708d,Software Engineer Apprentice (REACH),LinkedIn,,,,,,
57,6173b8b4667bc9e602343487d1eb0bc92c2d9f4f,Principal Broker & Member,"TrueLife Financial Solutions, LLC",,,,,,
58,07f15d942762bb1424808b8ed7f49aa81e697a6a,Senior Data Engineer,HomeLight,,,,,,
59,1bca572048bf17eb04c2ace3579e56cf199d3a48,Graybar District Manager,General Electric Lighting,,,,,,
60,e4410a530ce48e574254e2d4a9bad90480f6397b,"Online Lead Gen., Snr. Dir. of Marketing",Symantec,,,,,,
61,135207aa754c14b24732b6e82655f3990c382356,Senior InStruct Program Manager - NAMER & APAC | Sales Solutions ,LinkedIn,,,,,,
62,9409dcd7038b54b0fb37559697269e15a18ae865,CEO I Founder,Alexander Thamm GmbH,,,,,,
63,60bfe1ea05843008015d0f057170ff22e9d9fc39,Attorney at Law,Gadzo Law P.C.,,,,,,
64,1e48d7ead2d7524ddf6bf4f0c4d5d5436ec6b4e7,Client Service and Marketing: Manager of EMEA,Bridgewater Associates,,,,,,
65,38cf8967515d1d92afbac9cdf2b775ac8847769e,"Senior Manager, Machine Learning Solutions Architecture",Cloudera,,,,,,
66,ffab7279692b41b82db04aab85f7ad8a955bd8ec,CEO+Founder,V3 Digital inc.,,,,,,
67,55ce99d432bd4ec063534675402258bd1af23413,Executive Recruiter,Buccieri Search Group,,,,,,
68,3576efd3b6c72a6328dbe02ae303cdf6affa9768,Chief Executive Officer,Antah Solar ,,,,,,
69,06142dd0318c067bbe326b408382ebffdc3fe6c0,CTO,Finamics Global,,,,,,
70,367d889d767fb6841a58f5cf0bd70898ad2c71a4,Director of Operations,Intacct Corporation,,,,,,
71,5d4edd8140541245df655f4d8a4e61fa1d3f8d63,Managing Director,"HEART & RHYTHM CLINIC, A PROFESSIONAL MEDICAL CORPORATION",,,,,,
72,41fb1a2fde01561c058cc85fcf1396c7360440f5,"Product Operations Manager, Google Shopping",Google,,,,,,
73,0ccf716b276544942ebc8243bdf41f1fb6b85eaa,Contract Recruiter,USA WEEKEND Magazine,,,,,,
74,2e0a82a03a6a2a8661426adeaf037319e35832c7,Senior Human Resources Business Partner,Micron Technology,,,,,,
75,b5891523880ae170050dcb2ebb65e96d62f6b767,Founder and CEO,The Wine Noire ,,,,,,
76,d7e7cb627bc64b152cd5e033839dba6396b41f61,Freelance Marketing Consultant,Who The QR You?,,,,,,
77,4270c762679d4cbf2050048bf0949882aa8eced2,Founder/GM,RiverRock Network,,,,,,
78,e984e1037576688d569d82f862eb3c5d70f3a82e,Director of HW development,"Lenovo, DCG, HV&IO, ECAT",,,,,,
79,5f2b9391e30c46c8ad7d7372eacd036650172ca6,Board Member,Willamette Innovators Network,,,,,,
80,0a1d82fb513f78593993b06345132e05366650a5,Marketing Manager - Microsoft Partner,Barhead Solutions,,,,,,
81,c7178846093564c29afb5442d1d764ff2979d1fc,"Data Officer - Lead on All Things IT, Data, & Strategy",Collateral Repair Project,,,,,,
82,3242d9f120b7eff89e480bd914a59dc8ecffd470,Finance Manager,Lion's Heart - Teen Volunteers and Leaders,,,,,,
83,27a36cc3d1043d572a29a5067f818a426ecdde9a,Founder and COO,RISE,,,,,,
84,074787cf798fac934c113c07e1fe20106491b532,"SVP,  Quantitative Analytics & Modeling Group Manager",PNC,,,,,,
85,598ebc0c80bb29a4fa7e498611b4f01527c03c64,Technical Recruiting Researcher,Netflix,,,,,,
86,bd75469922b5beb3565e518c9f9fc007341c8e10,Salesforce Administrator,Tipalti,,,,,,
87,1d8c1ba223a06b94f571cd3c8a2c93d12e2ec638,Vice President & IDG Services Operations Leader ,Lenovo,,,,,,
88,d9588c5a7945b4ae0128c2fcd9d3e4063e34f229,Queen of all things Good,Self-employed,,,,,,
89,0260abbba7f6ba81a798fc8ee51b21d147e26941,Managing Director,PVTECH EAST AFRICA LTD,,,,,,
90,652408524994b1de71fdcb4528f3d4237e684615,"Senior Software Engineer, AI/ML",The Walt Disney Studios,,,,,,
91,ca2b3441ab28c9753b900d7ff6ea8859fee53621,Sr Engineering Manager,Uber Advanced Technologies Group,,,,,,
92,9a52bebe0b462fbc1a86745e5bb1cf2c6361e803,Co-Founder & CEO,Perimeter 81,,,,,,
93,8ef8ac29dfb00ced9c20c10fea0c64b0d6b09b09,CEO,Tactile Mobility (formerly MobiWize),,,,,,
94,ee91824c3a5894595eb7799e112f19ef3ff39ebb,Founder,"Picpulse, Inc.",,,,,,
95,3b728434fe69d2b7dcc4bc56072813f96c61cc05,Director of Operations,Silver Peak Systems,,,,,,
96,070b0d5d19a77ec7ed80891a77ee194e2fddacdb,Data Science Evangelist at H2O.ai,H2O.ai,,,,,,
97,131e840479c73b6835c1a97872a436972fc142e5,Executive Vice President of Finance,"o9 Solutions, Inc.",,,,,,
98,1ebe74afa156e7979c6ade5a75ced40974cb2287,Vice President Of Business Development and Major Projects,Irby Construction Company,,,,,,
99,63fcc259bd7871a98bf3fcd93387d2f9c2f76ac2,"Software Intern, Graduate level",Intel Corporation,,,,,,
100,e4005839c06e8a82a4eca4ec6f9bf448338bd881,"Founder, Scientist",SmartML,,,,,,
101,bc534871c9cafdac467cfb20183b308c08884df4,Founder - Technical Director of DevOps and Engineering,NeoTechAdmin,,,,,,
